Country,Region,Producer,Number_of_Bags,Country_Partner,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Weight,Colors
ethiopia,guji-hambela,metad plc,300,metad agricultural development plc,2014,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,green,0,1950,2200,2075,60,green
ethiopia,guji-hambela,metad plc,300,metad agricultural development plc,2014,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0,green,1,1950,2200,2075,60,green
guatemala,others,others,5,specialty coffee association,others,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0,others,0,1600,1800,1700,1,bluish-green
ethiopia,oromia,yidnekachew dabessa coffee plantation,320,metad agricultural development plc,2014,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0,green,2,1800,2200,2000,60,green
ethiopia,guji-hambela,metad plc,300,metad agricultural development plc,2014,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0,green,2,1950,2200,2075,60,green
brazil,others,others,100,specialty coffee institute of asia,2013,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0,bluish-green,1,others,others,others,30,bluish-green
peru,others,hvc,100,specialty coffee institute of asia,2012,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,bluish-green,0,others,others,others,69,bluish-green
ethiopia,oromia,bazen agricultural & industrial dev't plc,300,ethiopia commodity exchange,2010,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0,others,0,1570,1700,1635,60,bluish-green
ethiopia,oromiya,bazen agricultural & industrial dev't plc,300,ethiopia commodity exchange,2010,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0,others,0,1570,1700,1635,60,bluish-green
ethiopia,"snnp/kaffa zone,gimbowereda",diamond enterprise plc,50,metad agricultural development plc,2014,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0,green,4,1795,1850,1822.5,60,green
ethiopia,oromia,fahem coffee plantation,300,metad agricultural development plc,2014,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,0,others,1,1855,1955,1905,60,bluish-green
united states,antioquia,alfredo de jesús lópez pérez,10,almacafé,2014,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,0,0,others,0,1872,1872,1872,1,bluish-green
united states,antioquia,jorge walter restrepo,10,almacafé,2014,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,0,0,others,0,1943,1943,1943,1,bluish-green
united states (hawaii),kona,"robert, sharon, arianna wood",1,specialty coffee association,2010,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,0,0,others,2,609.6,609.6,609.6,1,bluish-green
ethiopia,oromiya,bazen agricultural & industrial dev't plc,300,ethiopia commodity exchange,2010,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,0,0,others,2,1570,1700,1635,60,bluish-green
united states,antioquia,maría leticia diosa,10,almacafé,2014,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,0,0,others,0,2080,2080,2080,1,bluish-green
indonesia,sulawesi,p.t. toarco jaya,1,specialty coffee association,2010,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,0,0,others,0,1200,1800,1500,2,bluish-green
ethiopia,yirgacheffe,green gold ethiopia | phone: 0114342032,150,ethiopia commodity exchange,2009,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,0,0,others,2,others,others,others,6,bluish-green
china,yunnan,echo coffee,3,yunnan coffee exchange,2015,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0,green,0,1450,1450,1450,60,green
ethiopia,gedio,levelup,250,blossom valley international,2014,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,0,0,others,8,1700,2000,1850,60,bluish-green
united states,antioquia,nicolás rueda urrego,10,almacafé,2014,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,0,0,others,0,2019,2019,2019,1,bluish-green
costa rica,san ramon,several,250,specialty coffee association,2014,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,0,0,green,2,1300,1300,1300,3,green
mexico,xalapa,roberto licona franco,14,amecafe,2012,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,0,0,green,0,1320,1320,1320,1,green
united states,antioquia,silvia elena higuita,10,almacafé,2014,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,0,0,others,0,2112,2112,2112,1,bluish-green
ethiopia,sidamo,others,100,specialty coffee institute of asia,2013,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,0,0,bluish-green,1,others,others,others,60,bluish-green
brazil,south of minas,ralph junqueira,3,nucoffee,2011,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0,green,2,1250,1250,1250,60,green
ethiopia,sidamo,green gold ethiopia | phone: 0114342032,150,ethiopia commodity exchange,2009,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,0,0,others,2,others,others,others,6,bluish-green
uganda,kapchorwa eastern,kabum trading company,100,uganda coffee development authority,2013,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,0,0,green,1,1950,1950,1950,60,green
honduras,comayagua,reinerio zepeda,275,instituto hondureño del café,2016,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,0,0,green,3,1400,1400,1400,69,green
taiwan,"leye, alishan township, chiayi county","fang,zheng-lun 方政倫",20,specialty coffee association,2015,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,0,0,green,0,1200,1200,1200,50,green
nicaragua,others,others,275,specialty coffee association,others,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,0,0,others,2,others,others,others,6,bluish-green
"tanzania, united republic of",others,others,100,specialty coffee institute of asia,2012,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,0,0,bluish-green,1,others,others,others,60,bluish-green
brazil,vale da grama,homero texeira de macedo junior,29,nucoffee,2011,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0,green,2,1300,1300,1300,60,green
costa rica,west and central valley,exclusive coffees s.a.,250,specialty coffee association of costa rica,2015,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,0,0,bluish-green,0,1300,1300,1300,2,bluish-green
ethiopia,oromia,haider abamecha abadiko,320,metad agricultural development plc,2014,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,0,0,green,3,1750,1800,1775,60,green
kenya,muranga,kangunu,320,kenya coffee traders association,2013,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,0,0,bluish-green,1,1800,1800,1800,1,bluish-green
united states (hawaii),kona,others,10,specialty coffee association,2012,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,1,0,others,4,others,others,others,100,bluish-green
united states (hawaii),kona,kona pacific farmers co-op,25,specialty coffee association,2010,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,2,0,others,1,others,others,others,100,bluish-green
ethiopia,yirgacheffe,contact name | ato teshome belamo,300,ethiopia commodity exchange,2009,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,0,0,others,2,others,others,others,6,bluish-green
